,Feature,W,Scaled
1851,PF3D7_0727500,1.1545144319534302,0.1784668
780,PF3D7_0407600,1.154514193534851,0.17837524
4703,PF3D7_1368000,1.154513955116272,0.17828369
1408,PF3D7_0613700,1.1545135974884033,0.1781311
2296,PF3D7_0906800,1.154512882232666,0.17782593
3781,PF3D7_1229200,1.1545119285583496,0.17745972
2156,PF3D7_0826000,1.15451180934906,0.17739868
5068,PF3D7_1432800,1.15451180934906,0.17739868
5515,PF3D7_1477500,1.154511570930481,0.17730713
4008,PF3D7_1252500,1.1545114517211914,0.1772461
4896,PF3D7_1414900,1.1545113325119019,0.17721558
360,PF3D7_0212000,1.1545112133026123,0.17715454
1909,PF3D7_0800800,1.1545110940933228,0.17712402
378,PF3D7_0213800,1.1545110940933228,0.17712402
1523,PF3D7_0625100,1.1545109748840332,0.17706299
2276,PF3D7_0904800,1.1545106172561646,0.1769104
2598,PF3D7_0937100,1.1545101404190063,0.1767273
3931,PF3D7_1244700,1.1545097827911377,0.1765747
4580,PF3D7_1355400,1.1545095443725586,0.17648315
4294,PF3D7_1326500,1.1545095443725586,0.17648315
4519,PF3D7_1349200,1.1545095443725586,0.17648315
5172,PF3D7_1443200,1.154509425163269,0.17645264
4238,PF3D7_1320900,1.15450918674469,0.17633057
4644,PF3D7_1362100,1.15450918674469,0.17633057
1081,PF3D7_0513000,1.1545090675354004,0.17630005
1695,PF3D7_0711000,1.1545089483261108,0.17623901
4074,PF3D7_1304500,1.1545089483261108,0.17623901
2165,PF3D7_0826900,1.1545087099075317,0.17614746
351,PF3D7_0211100,1.1545087099075317,0.17614746
4390,PF3D7_1336200,1.1545078754425049,0.17581177
4763,PF3D7_1401700,1.1545076370239258,0.17572021
2760,PF3D7_1015600,1.1545072793960571,0.17556763
1201,PF3D7_0525000,1.154507040977478,0.17547607
697,PF3D7_0323200,1.1545064449310303,0.17523193
3105,PF3D7_1111100,1.1545060873031616,0.17507935
4958,PF3D7_1421500,1.1545060873031616,0.17507935
396,PF3D7_0215600,1.154505968093872,0.17504883
262,PF3D7_0202100,1.154505729675293,0.17495728
1394,PF3D7_0612300,1.1545056104660034,0.17489624
732,PF3D7_0402500,1.1545054912567139,0.1748352
4813,PF3D7_1406600,1.1545053720474243,0.17480469
594,PF3D7_0312900,1.1545052528381348,0.17474365
199,PF3D7_0110700,1.1545050144195557,0.1746521
3581,PF3D7_1209000,1.1545047760009766,0.17456055
3900,PF3D7_1241600,1.1545047760009766,0.17456055
3537,PF3D7_1204500,1.154504656791687,0.17449951
1122,PF3D7_0517100,1.1545045375823975,0.174469
2485,PF3D7_0925800,1.1545042991638184,0.17437744
4999,PF3D7_1426000,1.1545042991638184,0.17437744
3272,PF3D7_1127900,1.1545041799545288,0.1743164
1498,PF3D7_0622700,1.1545040607452393,0.17425537
1960,PF3D7_0806100,1.1545037031173706,0.1741333
2022,PF3D7_0812400,1.154503583908081,0.17407227
1109,PF3D7_0515800,1.154503345489502,0.17398071
3246,PF3D7_1125300,1.154503345489502,0.17398071
681,PF3D7_0321500,1.1545029878616333,0.17382812
2790,PF3D7_1018600,1.1545027494430542,0.17373657
3699,PF3D7_1221000,1.1545026302337646,0.17370605
2878,PF3D7_1027500,1.154502511024475,0.17364502
2969,PF3D7_1036800,1.154502511024475,0.17364502
2560,PF3D7_0933300,1.154502511024475,0.17364502
192,PF3D7_0109900.1,1.154502511024475,0.17364502
511,PF3D7_0304500,1.1545021533966064,0.17349243
2342,PF3D7_0911400,1.1545021533966064,0.17349243
206,PF3D7_0111400,1.1545019149780273,0.17340088
3709,PF3D7_1222000,1.1545017957687378,0.17333984
517,PF3D7_0305100,1.15450119972229,0.17312622
4482,PF3D7_1345500,1.1545010805130005,0.17306519
3059,PF3D7_1106500,1.1545008420944214,0.17297363
1219,PF3D7_0526800,1.1545008420944214,0.17297363
4210,PF3D7_1318100,1.1545008420944214,0.17297363
3021,PF3D7_1102600,1.1545004844665527,0.17282104
1994,PF3D7_0809700,1.154500126838684,0.17266846
2380,PF3D7_0915300,1.154500126838684,0.17266846
